source,year,expdays,invvert,phylum,class,order,family,genus,species,jenv,jhab,aenv,ahab,migratory,zone,region,source,slat,slong,avgg,o2sat,o2method,tdeg,tmethod,response,rmeasure,salinity,ph,parmean,parmax,sstmin,sstmean,sstmax,dissox,damin,damean,damax,chlorange,chlomin,chlomax
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,79,constant,25,constant,growth rate,2.1770,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,53,constant,25,constant,growth rate,2.4020,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,26,constant,25,constant,growth rate,2.2720,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,20,constant,25,constant,growth rate,1.5070,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,86,constant,30,constant,growth rate,1.3550,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,56,constant,30,constant,growth rate,1.9850,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,29,constant,30,constant,growth rate,1.9460,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,perciformes,sciaenidae,leiostomus,xanthurus,br,est,br,est,oceanodromous,demersal,subtropical,wild,34.7167,-76.6500,7.00,22,constant,30,constant,growth rate,0.1380,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,79,constant,25,constant,growth rate,2.5970,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,53,constant,25,constant,growth rate,1.9080,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,26,constant,25,constant,growth rate,1.5840,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,20,constant,25,constant,growth rate,0.9470,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,86,constant,30,constant,growth rate,2.8210,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,56,constant,30,constant,growth rate,2.8840,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,29,constant,30,constant,growth rate,2.5010,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
mcnatt,2004,14.00,vert,chordata,actinopterygii,clupeiformes,clupeidae,brevoortia,tyrannus,br,est,br,est,oceanodromous,neritic,subtropical,wild,34.7167,-76.6500,7.00,22,constant,30,constant,growth rate,1.1150,34.838,8.287,35.265,53.393,13.570,21.271,29.593,5.136,0.170,0.227,0.272,0.000,3.842,3.842
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,82,constant,23,constant,growth rate,1.8000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,55,constant,23,constant,growth rate,1.1000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,24,constant,23,constant,growth rate,0.0000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,85,constant,25,constant,growth rate,0.9000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,56,constant,25,constant,growth rate,0.6000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,25,constant,25,constant,growth rate,-0.3000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,88,constant,27,constant,growth rate,2.9000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,58,constant,27,constant,growth rate,3.1000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,26,constant,27,constant,growth rate,-1.4000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,91,constant,29,constant,growth rate,4.2000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,60,constant,29,constant,growth rate,2.1000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,26,constant,29,constant,growth rate,-0.8000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,93,constant,31,constant,growth rate,0.8000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,62,constant,31,constant,growth rate,0.6000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,27,constant,31,constant,growth rate,-0.5000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,97,constant,33,constant,growth rate,-3.3000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,64,constant,33,constant,growth rate,-2.2000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,28,constant,33,constant,growth rate,0.0000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,85,oscillating,25,constant,growth rate,1.8000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,56,oscillating,25,constant,growth rate,1.2000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,25,oscillating,25,constant,growth rate,-0.1000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,88,oscillating,27,constant,growth rate,1.7000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,58,oscillating,27,constant,growth rate,1.7000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
toro-silva,2008,14.00,vert,chordata,actinopterygii,pleuronectiformes,paralichthyidae,paralichthys,lethostigma,br,est,br,est,non-migratory,demersal,subtropical,non-wild,35.7855,-78.6716,15.00,26,oscillating,27,constant,growth rate,-0.7000,29.820,8.291,35.417,51.972,10.320,19.680,28.637,5.437,0.439,0.512,0.617,20.000,15.568,35.568
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,95,stepwise,10,constant,respiration rate,0.1200,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,95,stepwise,18,constant,respiration rate,0.2000,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,95,stepwise,25,constant,respiration rate,0.1800,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,75,stepwise,10,constant,respiration rate,0.1200,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,75,stepwise,18,constant,respiration rate,0.2000,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,75,stepwise,25,constant,respiration rate,0.1800,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,50,stepwise,10,constant,respiration rate,0.1150,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,50,stepwise,18,constant,respiration rate,0.2000,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,50,stepwise,25,constant,respiration rate,0.1700,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,40,stepwise,10,constant,respiration rate,0.1100,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,40,stepwise,18,constant,respiration rate,0.2000,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,40,stepwise,25,constant,respiration rate,0.1600,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,30,stepwise,10,constant,respiration rate,0.1100,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,30,stepwise,18,constant,respiration rate,0.1900,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
artiguad,2014,0.58,invert,mollusca,bivalvia,ostreoida,pectinidae,pecten,maximus,mn,epi,mn,sbz,non-migratory,epibenthic,temperate,non-wild,48.3908,-4.4856,,30,stepwise,25,constant,respiration rate,0.1400,34.960,8.167,30.282,47.518,8.969,13.238,17.847,5.958,0.185,0.241,0.309,5.688,2.924,8.612
